iter	MultiClass
0	2.102296978
1	1.968500385
2	1.866820898
3	1.789698758
4	1.724440551
5	1.674688406
6	1.627726733
7	1.58461131
8	1.54233093
9	1.505967656
10	1.476210155
11	1.450385331
12	1.42780221
13	1.405496762
14	1.383250955
15	1.357946217
16	1.337295342
17	1.318912871
18	1.300554563
19	1.284967996
20	1.268455389
21	1.254821009
22	1.242837762
23	1.227236448
24	1.213988202
25	1.199193994
26	1.187474033
27	1.175430806
28	1.162772179
29	1.153837709
30	1.146075101
31	1.134622146
32	1.124903301
33	1.113711988
34	1.105988854
35	1.100318712
36	1.091751395
37	1.084453963
38	1.076591748
39	1.068066363
40	1.063228455
41	1.057757414
42	1.050962174
43	1.044949129
44	1.038261065
45	1.032292733
46	1.025736815
47	1.019902184
48	1.014783263
49	1.007430462
50	1.002906747
51	0.9981122381
52	0.9928000659
53	0.9865282429
54	0.9805613906
55	0.9755287885
56	0.971111082
57	0.9669985537
58	0.9636771204
59	0.9603184745
60	0.9558333406
61	0.9526669697
62	0.9490692709
63	0.9450150758
64	0.9433961135
65	0.9408711281
66	0.9379647311
67	0.9351056623
68	0.9325512478
69	0.9300724702
70	0.927892242
71	0.925778777
72	0.9227044516
73	0.9190971404
74	0.9163165116
75	0.914934254
76	0.9111053843
77	0.9084693129
78	0.9047390511
79	0.9012547938
80	0.8987022173
81	0.8963748879
82	0.8941802305
83	0.8924714306
84	0.8899651925
85	0.8867454627
86	0.8848929901
87	0.8805183423
88	0.8776551102
89	0.8758870719
90	0.872910274
91	0.8711280939
92	0.869000597
93	0.867192113
94	0.8653983368
95	0.8642404148
96	0.8628954919
97	0.8608379717
98	0.8585016251
99	0.8565604406
100	0.8552718435
101	0.8532367345
102	0.8517061632
103	0.8498681235
104	0.8471642196
105	0.8457763403
106	0.8450080937
107	0.8431431164
108	0.8413389117
109	0.8393551582
110	0.8383372103
111	0.8372018622
112	0.8357057785
113	0.8328252504
114	0.8303201359
115	0.8286812173
116	0.8274541582
117	0.8266631991
118	0.825289361
119	0.8229244108
120	0.8214404984
121	0.8205020574
122	0.8193645519
123	0.8181482728
124	0.8170535995
125	0.8155367899
126	0.8133937541
127	0.8124722387
128	0.8109938669
129	0.810011767
130	0.8082452925
131	0.8071924534
132	0.805175012
133	0.8037950578
134	0.8018770209
135	0.8012424512
136	0.8002736573
137	0.7986906227
138	0.7975382405
139	0.7960134445
140	0.7940875863
141	0.792624944
142	0.791450831
143	0.7897748842
144	0.7881208512
145	0.7860952277
146	0.7836528711
147	0.7827176972
148	0.7816621357
149	0.780379731
150	0.7785744947
151	0.7772689882
152	0.7764785995
153	0.7755632387
154	0.7747055477
155	0.7730031233
156	0.7719280025
157	0.7712855578
158	0.7701641198
159	0.7691001001
160	0.7678976333
161	0.7660874736
